symbol,Chemistry,Shapely,Zappo,Taylor,LETTER,Hydrophobicity
-,#ffffff,#ffffff,#ffffff,#ffffff,#FFFFFF,#FFFFFF
A,#f2be3c,#c8c8c8,#ff7979,#ccff00,#FF5005,#ad0052
B,#ffffff,#ffffff,#ffffff,#ffffff,#FFFF80,#0c00f3
C,#74ce98,#e6e600,#ffff00,#ffff00,#990000,#c2003d
D,#ff6d6d,#e60a0a,#c00000,#ff0000,#740AFF,#0c00f3
E,#ff6d6d,#e60a0a,#c00000,#ff0066,#E0FF66,#0c00f3
F,#ffff66,#3232aa,#f89f56,#00ff66,#00998F,#cb0034
G,#f2be3c,#ebebeb,#cc00cc,#ff9900,#5EF1F2,#6a0095
H,#769dcc,#8282d2,#0070c0,#0066ff,#FF0010,#1500ea
I,#f2be3c,#0f820f,#ff7979,#66ff00,#426600,#ff0000
J,#ffffff,#ffffff,#ffffff,#ffffff,#FFA8BB,#FFFFFF
K,#769dcc,#145aff,#0070c0,#6600ff,#FFA405,#0000ff
L,#f2be3c,#0f820f,#ff7979,#66ff00,#003380,#ea0015
M,#f2be3c,#e6e600,#ff7979,#00ff00,#C20088,#b0004f
N,#74ce98,#00dcdc,#08c81a,#cc00ff,#9DCC00,#0c00f3
O,#ffffff,#ffffff,#ffffff,#ffffff,#8F7C00,#FFFFFF
P,#f2be3c,#dc9682,#cc00cc,#ffcc00,#94FFB5,#4600b9
Q,#74ce98,#00dcdc,#08c81a,#ff00cc,#94FFB5,#0c00f3
R,#769dcc,#145aff,#0070c0,#0000ff,#FFCC99,#0000ff
S,#74ce98,#fa9600,#08c81a,#ff3300,#2BCE48,#5e00a1
T,#74ce98,#fa9600,#08c81a,#ff6600,#005C31,#61009e
U,#ffffff,#ffffff,#ffffff,#ffffff,#191919,#FFFFFF
V,#f2be3c,#0f820f,#ff7979,#99ff00,#4C005C,#f60009
W,#ffff66,#b45ab4,#f89f56,#00ccff,#993F00,#5e00a1
X,#ffffff,#ffffff,#ffffff,#ffffff,#0075DC,#680097
Y,#ffff66,#3232aa,#f89f56,#00ffcc,#F0A3FF,#4f00b0
Z,#ffffff,#ffffff,#ffffff,#ffffff,#000000,#0c00f3
